MP325,Bushbuckridge,MP
MP326,City of Mbombela,MP
LIM331,Greater Giyani,NP
LIM332,Greater Letaba,NP
LIM333,Greater Tzaneen,NP
LIM334,Ba-Phalaborwa,NP
LIM335,Maruleng,NP
LIM341,Musina,NP
LIM343,Thulamela,NP
LIM344,Makhado,NP
LIM345,Collins Chabane,NP
LIM351,Blouberg,NP
LIM353,Molemole,NP
LIM354,Polokwane,NP
LIM355,Lepele-Nkumpi,NP
LIM361,Thabazimbi,NP
LIM362,Lephalale,NP
LIM366,Bela-Bela,NP
LIM367,Mogalakwena,NP
LIM368,Modimolle-Mookgophong,NP
LIM471,Ephraim Mogale,NP
LIM472,Elias Motsoaledi,NP
LIM473,Makhuduthamaga,NP
LIM476,Fetakgomo Tubatse,NP
